Strategy,Entry,Exit,PnL,Type
LiquidityHunter2026,5125.64,5130.64,-0.08192260800000001,short
LiquidityHunter2026,5131.8,5146.8,0.09799703999999998,long
LiquidityHunter2026,5147.99,5142.99,-0.082047528,long
LiquidityHunter2026,5150.94,5165.94,0.09785923199999999,long
LiquidityHunter2026,5170.96,5165.96,-0.082212912,long
LiquidityHunter2026,5166.47,5161.47,-0.082180584,long
LiquidityHunter2026,5170.06,5185.06,0.09772156799999998,long
LiquidityHunter2026,5185.67,5180.67,-0.082318824,long
LiquidityHunter2026,5186.67,5181.67,-0.082326024,long
LiquidityHunter2026,5161.0,5166.0,-0.0821772,short
LiquidityHunter2026,5169.1,5184.1,0.09772847999999998,long
LiquidityHunter2026,5186.9,5181.9,-0.08232767999999999,long
LiquidityHunter2026,5179.98,5174.98,-0.082277856,long
LiquidityHunter2026,5172.76,5177.76,-0.082261872,short
LiquidityHunter2026,5178.0,5173.0,-0.08226359999999999,long
LiquidityHunter2026,5176.94,5171.94,-0.082255968,long
LiquidityHunter2026,5170.65,5175.65,-0.08224667999999999,short
LiquidityHunter2026,5176.8,5171.8,-0.08225496,long
LiquidityHunter2026,5175.04,5180.04,-0.08227828799999999,short
LiquidityHunter2026,5179.76,5174.76,-0.082276272,long
LiquidityHunter2026,5170.47,5155.47,0.09782661599999998,short
LiquidityHunter2026,5155.54,5140.54,0.09793411199999999,short
LiquidityHunter2026,5151.15,5156.15,-0.08210627999999999,short
LiquidityHunter2026,5168.2,5183.2,0.09773495999999998,long
LiquidityHunter2026,5183.75,5178.75,-0.08230499999999999,long
LiquidityHunter2026,5183.3,5178.3,-0.08230176,long
LiquidityHunter2026,5181.29,5176.29,-0.082287288,long
LiquidityHunter2026,5171.48,5176.48,-0.082252656,short
LiquidityHunter2026,5182.89,5177.89,-0.082298808,long
LiquidityHunter2026,5176.35,5181.35,-0.08228772000000001,short
LiquidityHunter2026,5179.09,5194.09,0.09765655199999998,long
LiquidityHunter2026,5196.67,5191.67,-0.082398024,long
LiquidityHunter2026,5193.72,5208.72,0.09755121599999998,long
LiquidityHunter2026,5203.02,5198.02,-0.082443744,long
