ID,Logic_Base,Leverage,Risk_Per_Trade,Take_Profit,Total_Trades,WinRate,Net_Profit,ROI,MaxDD,Sharpe,Profit_Factor
198,KillZone_Scalper,25,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
199,KillZone_Scalper,50,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
200,KillZone_Scalper,50,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
201,KillZone_Scalper,50,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
202,KillZone_Scalper,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
203,KillZone_Scalper,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
204,KillZone_Scalper,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
205,KillZone_Scalper,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
206,KillZone_Scalper,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
207,KillZone_Scalper,50,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
208,KillZone_Scalper,100,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
209,KillZone_Scalper,100,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
210,KillZone_Scalper,100,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
211,KillZone_Scalper,100,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
212,KillZone_Scalper,100,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
213,KillZone_Scalper,100,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
214,KillZone_Scalper,100,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
215,KillZone_Scalper,100,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
216,KillZone_Scalper,100,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
217,Trend_Sniper,25,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
218,Trend_Sniper,25,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
219,Trend_Sniper,25,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
220,Trend_Sniper,25,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
221,Trend_Sniper,25,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
222,Trend_Sniper,25,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
223,Trend_Sniper,25,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
224,Trend_Sniper,25,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
225,Trend_Sniper,25,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
226,Trend_Sniper,50,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
227,Trend_Sniper,50,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
228,Trend_Sniper,50,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
229,Trend_Sniper,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
230,Trend_Sniper,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
231,Trend_Sniper,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
232,Trend_Sniper,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
233,Trend_Sniper,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
