type,entry,exit,profit
LONG,5170.06,5188.61,0.0004693140898755838
LONG,5190.0,5183.3,-0.00019238487403728038
LONG,5195.0,5192.99,-5.1630241618548166e-05
LONG,5184.67,5177.3,-0.0001784294653274468
LONG,5169.1,5176.75,0.00016512695655651027
LONG,5176.08,5188.03,0.00026634553356487276
LONG,5190.43,5184.66,-0.00013791656295327894
LONG,5179.5,5180.24,1.603045477451892e-05
LONG,5178.15,5177.36,-1.655556781175944e-05
LONG,5169.59,5169.89,5.997384638421443e-06
LONG,5170.36,5168.6,-3.387427518111097e-05
LONG,5171.41,5170.19,-2.21374855328321e-05
LONG,5168.25,5174.53,0.00010811684302431326
LONG,5178.5,5170.1,-0.00014732076035788467
LONG,5179.76,5170.47,-0.00014315809132233736
LONG,5158.01,5151.15,-9.238784436450419e-05
LONG,5159.18,5158.2,-1.1789642702827885e-05
LONG,5163.2,5179.51,0.00018635529107020494
LONG,5180.64,5181.9,1.6039455374490567e-05
LONG,5184.91,5182.55,-2.9181602481768014e-05
LONG,5187.05,5184.36,-3.116144321279703e-05
LONG,5172.13,5180.99,9.61445403114433e-05
LONG,5181.35,5187.9,7.418761118013455e-05
LONG,5179.98,5185.63,6.549472916984696e-05
LONG,5189.0,5193.86,5.705544397569409e-05
LONG,5195.18,5203.65,9.99943120160306e-05
LONG,5198.47,5194.28,-5.148540045494881e-05
LONG,5197.29,5201.5,4.7587093843720796e-05
LONG,5207.54,5203.11,-4.999954182699451e-05
LONG,5206.99,5205.98,-1.045950764213283e-05
LONG,5202.64,5201.89,-7.38709595507559e-06
LONG,5205.62,5210.14,4.2393479963210525e-05
LONG,5181.94,5171.7,-9.680851963941774e-05
LONG,5188.99,5196.35,5.983877659009393e-05
LONG,5203.25,5196.35,-5.767331036886242e-05
LONG,5193.56,5196.24,2.005610994865732e-05
LONG,5199.15,5193.96,-3.824695461256156e-05
LONG,5183.58,5181.46,-1.4260730208427035e-05
LONG,5182.43,5173.82,-5.442794115165164e-05
LONG,5176.19,5181.26,2.813836426657723e-05
LONG,5170.67,5159.07,-6.502553202971414e-05
LONG,5154.35,5161.27,3.2990594509567803e-05
LONG,5154.5,5161.35,3.3540929702625e-05
LONG,5152.8,5149.75,-1.5333906788817486e-05
LONG,5159.15,5160.82,7.801908100659336e-06
LONG,5156.75,5156.97,1.003779437704553e-06
LONG,5159.0,5158.94,-2.632765610661152e-07
LONG,5160.14,5154.33,-2.4453954586218022e-05
LONG,5144.45,5147.67,1.2284749752836929e-05
LONG,5147.11,5142.54,-1.7274279903192035e-05
LONG,5149.01,5149.19,6.227249304132602e-07
LONG,5130.0,5133.87,1.2924150831660953e-05
LONG,5130.56,5126.19,-1.4558843882620636e-05
LONG,5132.74,5137.98,1.6008425648019665e-05
LONG,5142.0,5141.02,-3.0214976488457833e-06
LONG,5138.3,5134.6,-1.0850443403002187e-05
LONG,5134.44,5137.06,7.104551879838343e-06
LONG,5137.06,5144.07,1.8723634445405507e-05
LONG,5139.63,5150.02,2.8519970859465256e-05
LONG,5150.52,5150.5,-5.812658176380815e-08
LONG,5150.91,5146.34,-1.2747101972891821e-05
LONG,5150.01,5149.35,-1.6858964901746347e-06
LONG,5153.85,5156.79,7.15602983660102e-06
LONG,5156.41,5154.9,-3.6313455724884932e-06
LONG,5158.52,5157.08,-3.2724202770265735e-06
LONG,5157.12,5157.12,0.0
LONG,5157.6,5164.4,1.4036934652094634e-05
LONG,5168.0,5168.7,1.4794142405651187e-06
LONG,5167.23,5175.02,1.591904357590904e-05
LONG,5177.14,5175.78,-2.8719241098614114e-06
LONG,5179.82,5184.35,9.053016287814989e-06
LONG,5185.8,5177.63,-1.6369079865464128e-05
LONG,5179.72,5177.31,-4.259916601426816e-06
LONG,5184.75,5188.14,5.607576443598579e-06
LONG,5187.37,5183.23,-6.794621259748769e-06
LONG,5180.53,5181.12,8.921035665280719e-07
LONG,5182.45,5179.58,-4.189121153162823e-06
LONG,5185.86,5186.43,7.751496918337154e-07
LONG,5188.33,5192.06,4.895106138125003e-06
LONG,5194.95,5190.24,-6.148227846659049e-06
LONG,5190.42,5196.14,6.835315892855166e-06
LONG,5196.66,5195.94,-8.723149223481417e-07
LONG,5194.22,5192.68,-1.779058189522555e-06
LONG,5191.75,5192.06,3.386472689521251e-07
LONG,5190.79,5185.46,-5.608059554393436e-06
LONG,5179.02,5182.29,3.1333591769404353e-06
LONG,5181.49,5177.31,-3.969623712246604e-06
LONG,5175.46,5170.0,-4.774116693347303e-06
LONG,5158.19,5148.45,-7.752260398363037e-06
LONG,5146.61,5160.24,9.410942552468016e-06
LONG,5165.13,5172.27,5.365904971388258e-06
LONG,5173.07,5171.41,-1.2818552300073423e-06
LONG,5172.05,5171.16,-6.488660430101636e-07
LONG,5159.76,5175.08,1.0651647779024833e-05
LONG,5175.45,5177.67,1.705641619991915e-06
LONG,5184.43,5185.85,1.0688911817071405e-06
LONG,5171.55,5170.59,-7.053701876714589e-07
LONG,5173.81,5172.77,-7.261723102230911e-07
LONG,5171.84,5168.73,-2.063624879293753e-06
LONG,5165.79,5166.76,5.992342546890988e-07
LONG,5170.25,5164.39,-3.506258916501065e-06
LONG,5164.23,5168.91,2.53240721787526e-06
LONG,5169.17,5170.25,5.869337860979073e-07
LONG,5170.55,5169.0,-8.172423736980934e-07
LONG,5167.72,5168.75,5.134857565780042e-07
LONG,5171.05,5174.86,1.8411576909255183e-06
LONG,5174.75,5173.81,-4.524828672798574e-07
LONG,5171.71,5171.46,-1.1450136267735362e-07
LONG,5159.93,5161.9,8.659707396025801e-07
LONG,5164.74,5150.59,-6.084259692277456e-06
LONG,5130.82,5128.63,-7.800727561634668e-07
LONG,5136.41,5125.92,-3.503460238890205e-06
LONG,5138.01,5132.98,-1.4406658708423337e-06
LONG,5123.15,5118.98,-1.0912458592065132e-06
LONG,5128.86,5108.15,-4.976609621731258e-06
LONG,5115.55,5106.05,-1.734952951826769e-06
LONG,5098.33,5094.45,-6.165009726740426e-07
LONG,5102.21,5099.6,-3.8204240493914427e-07
LONG,5101.32,5103.79,3.3789555030411763e-07
LONG,5089.72,5090.67,1.281979395535876e-07
LONG,5076.99,5077.25,3.40949053495838e-08
LONG,5082.5,5090.87,1.0553539165016373e-06
LONG,5089.92,5096.74,8.949931767719589e-07
LONG,5094.76,5091.89,-3.86421726396603e-07
LONG,5078.37,5076.93,-1.8124863051687392e-07
LONG,5073.81,5081.36,8.996140768283934e-07
LONG,5091.8,5088.0,-4.6669427548005254e-07
LONG,5095.61,5092.76,-3.2271219358041765e-07
LONG,5087.53,5090.05,2.6637112655950113e-07
LONG,5080.98,5081.94,1.0005670750405236e-07
LONG,5078.89,5082.88,4.033192264649226e-07
LONG,5084.01,5079.46,-4.591243291101351e-07
LONG,5085.33,5082.72,-2.4097877858103474e-07
LONG,5085.34,5098.27,1.1154116580400607e-06
LONG,5093.14,5088.97,-3.9045259378337936e-07
LONG,5090.48,5090.16,-2.755157695612076e-08
LONG,5092.95,5091.22,-1.4245520482338579e-07
LONG,5094.85,5094.5,-2.7167775806014268e-08
LONG,5094.1,5092.5,-1.1881845304423728e-07
LONG,5091.05,5096.6,3.89423410167817e-07
LONG,5099.24,5100.01,5.4722710582184737e-08
LONG,5101.33,5099.61,-1.1822232168867479e-07
LONG,5100.55,5100.73,1.1670347043277287e-08
LONG,5105.63,5104.98,-4.049120710903763e-08
LONG,5107.06,5108.73,9.91797482949243e-08
LONG,5106.99,5106.76,-1.333653175333099e-08
LONG,5108.6,5104.35,-2.3594894221132516e-07
LONG,5108.03,5101.69,-3.2329015033900693e-07
LONG,5095.96,5093.47,-1.1427881130460361e-07
LONG,5102.47,5089.72,-5.46755718895024e-07
LONG,5093.33,5092.22,-3.981775108855544e-08
LONG,5097.84,5098.22,1.2926010154599293e-08
LONG,5101.31,5144.49,1.4145601019955587e-06
LONG,5140.07,5138.36,-7.689305480477037e-08
LONG,5141.02,5137.22,-1.6116528147404788e-07
LONG,5137.91,5134.56,-1.312230644771825e-07
LONG,5137.22,5135.26,-7.120990000473814e-08
LONG,5137.79,5146.34,2.9224900696555004e-07
LONG,5142.92,5141.6,-4.702015646275141e-08
LONG,5142.92,5143.3,1.2820880705263161e-08
LONG,5144.26,5143.65,-1.9828489192528482e-08
LONG,5141.2,5138.73,-7.664693602740156e-08
LONG,5140.25,5135.9,-1.263655563618309e-07
LONG,5136.08,5131.23,-1.2939579752205108e-07
LONG,5133.8,5131.14,-6.480558183174359e-08
LONG,5135.13,5132.09,-6.916355159781604e-08
LONG,5134.62,5130.65,-8.404299200988776e-08
LONG,5126.58,5125.23,-2.6371715281198767e-08
LONG,5129.22,5124.34,-9.021358968868484e-08
LONG,5127.72,5129.26,2.598304872876401e-08
LONG,5130.55,5127.33,-5.294133530963799e-08
LONG,5119.22,5123.05,5.8604340342211206e-08
LONG,5122.96,5121.76,-1.8300435857049084e-08
LONG,5123.68,5125.75,2.993144050859905e-08
LONG,5127.5,5124.23,-4.631190191903928e-08
LONG,5123.25,5119.26,-5.248954663053656e-08
LONG,5117.0,5119.85,3.457446240337994e-08
LONG,5109.0,5103.36,-6.769468554084964e-08
LONG,5108.64,5100.39,-8.959908931939721e-08
LONG,5106.66,5101.79,-4.652062924618294e-08
LONG,5098.24,5095.0,-2.8282322224193314e-08
LONG,5097.5,5097.87,2.9983465093746403e-09
LONG,5100.26,5094.0,-4.885720965782422e-08
LONG,5100.28,5097.84,-1.7112433733973703e-08
LONG,5096.92,5096.88,-2.627704683283217e-10
LONG,5097.38,5104.25,4.3303970467042015e-08
LONG,5096.25,5093.67,-1.67112863601867e-08
LONG,5093.24,5099.51,3.7981833242212484e-08
LONG,5101.62,5101.55,-4.3245661245691653e-10
LONG,5084.3,5127.14,2.54760173013727e-07
LONG,5105.3,5099.64,-4.629589298422326e-08
LONG,5106.57,5102.38,-3.0992907949227405e-08
LONG,5103.56,5103.65,6.121284215717793e-10
LONG,5100.06,5156.12,3.666239632769266e-07
LONG,5159.68,5170.41,1.0469333327745569e-07
LONG,5166.62,5166.62,0.0
LONG,5155.91,5151.75,-4.148752405555641e-08
LONG,5161.3,5153.28,-7.347904221210938e-08
LONG,5156.79,5149.0,-6.302463848221201e-08
LONG,5153.6,5146.97,-4.7470380778168013e-08
LONG,5150.01,5149.49,-3.3369802998358273e-09
LONG,5154.3,5151.4,-1.7756896292152266e-08
LONG,5159.46,5156.3,-1.8012367918322007e-08
LONG,5152.12,5147.2,-2.610075905904405e-08
LONG,5152.45,5156.6,2.0082342220636976e-08
LONG,5156.04,5156.77,3.531000653646294e-09
LONG,5158.6,5170.07,5.3626999112907014e-08
LONG,5171.88,5176.51,2.3127372883202116e-08
LONG,5169.79,5171.25,7.330420007834543e-09
LONG,5168.37,5164.27,-2.0058078572863697e-08
LONG,5164.53,5164.04,-2.2078171650768463e-09
LONG,5168.97,5163.69,-2.2706317127683907e-08
LONG,5169.06,5168.24,-3.205072293911581e-09
LONG,5169.35,5165.79,-1.3246959814446044e-08
LONG,5166.42,5178.38,4.121399236023147e-08
LONG,5178.65,5181.88,1.1944853170780103e-08
LONG,5181.96,5181.11,-3.113646465589004e-09
LONG,5184.07,5185.35,4.4609468439124145e-09
LONG,5186.66,5186.34,-1.0838484050745358e-09
LONG,5184.47,5183.62,-2.7560924448349628e-09
LONG,5182.55,5182.6,1.5436578372038222e-10
LONG,5179.96,5178.62,-3.975504500153881e-09
LONG,5179.2,5181.64,6.8567554789293155e-09
LONG,5180.28,5185.59,1.4673294387550948e-08
LONG,5184.6,5186.22,4.52310548653335e-09
LONG,5184.05,5182.13,-5.230561803550367e-09
LONG,5183.43,5181.74,-4.335050940220944e-09
LONG,5179.84,5178.34,-3.6335380356651e-09
LONG,5180.49,5178.36,-4.877889769571466e-09
LONG,5167.66,5165.08,-5.564359857740427e-09
LONG,5166.22,5166.01,-4.236039671067763e-10
LONG,5167.23,5174.32,1.3697852943830462e-08
LONG,5170.0,5178.77,1.741848305946922e-08
LONG,5178.77,5179.56,1.6365435365319872e-09
LONG,5178.61,5177.32,-2.5858917509268234e-09
LONG,5177.25,5176.78,-8.9295604480503e-10
LONG,5177.0,5180.01,5.464265462198633e-09
LONG,5181.74,5182.23,8.789946578243363e-10
LONG,5180.48,5180.71,3.981325669765469e-10
LONG,5181.59,5180.29,-2.164831490074603e-09
LONG,5182.95,5185.01,3.2493055538347544e-09
LONG,5185.31,5185.6,4.4801218546068646e-10
LONG,5186.11,5185.85,-3.8666255257626133e-10
LONG,5181.54,5182.32,1.111658845919562e-09
LONG,5182.97,5180.11,-3.942618313693149e-09
LONG,5177.82,5177.98,2.058600368065077e-10
LONG,5178.64,5175.0,-4.502503223373579e-09
LONG,5176.49,5176.6,1.2589051873044537e-10
LONG,5176.51,5175.67,-9.23909396068843e-10
LONG,5176.98,5182.8,6.092805373216724e-09
LONG,5182.9,5182.28,-6.58815312003093e-10
LONG,5182.28,5182.28,0.0
LONG,5180.65,5181.76,1.080713618062097e-09
LONG,5181.77,5181.46,-2.9291685460289577e-10
LONG,5183.31,5181.75,-1.410241783617892e-09
LONG,5182.37,5182.56,1.6233351491189018e-10
LONG,5182.17,5181.34,-6.821012559175906e-10
LONG,5180.78,5177.3,-2.72331726554711e-09
LONG,5179.12,5179.64,3.7710342711017024e-10
LONG,5181.39,5180.52,-6.085854441604064e-10
LONG,5181.23,5179.7,-1.0185025868469142e-09
LONG,5181.22,5180.34,-5.537214825015159e-10
LONG,5180.5,5180.59,5.389175962424173e-11
LONG,5182.0,5183.11,6.384706914973043e-10
LONG,5183.89,5183.0,-4.96749317959811e-10
LONG,5180.87,5181.56,3.6662172650365497e-10
LONG,5182.11,5182.75,3.286376390672259e-10
LONG,5182.92,5182.76,-7.936776652163422e-11
LONG,5183.42,5183.19,-1.0934079587418781e-10
LONG,5183.62,5183.23,-1.7756944439221526e-10
LONG,5188.16,5187.16,-4.34999549862005e-10
LONG,5187.36,5187.35,-4.134694134193939e-12
LONG,5186.87,5186.36,-2.024334133212969e-10
LONG,5182.16,5182.2,1.517774024957765e-11
LONG,5182.65,5181.38,-4.6275967371570786e-10
LONG,5183.16,5182.92,-8.287255545328539e-11
LONG,5183.55,5183.02,-1.7525275797881437e-10
LONG,5183.44,5181.4,-6.441392042125953e-10
LONG,5181.75,5170.0,-3.48981165833803e-09
LONG,5170.0,5169.76,-6.048214860453702e-11
LONG,5168.0,5168.0,0.0
LONG,5168.0,5167.79,-4.867366409437076e-11
LONG,5168.0,5168.0,0.0
LONG,5169.85,5171.88,4.3255101331446667e-10
LONG,5171.89,5171.88,-2.0865553635205826e-12
LONG,5171.88,5173.74,3.7253851094310803e-10
LONG,5173.82,5174.62,1.5664370433586496e-10
LONG,5174.62,5176.92,4.3574961875476327e-10
LONG,5176.92,5176.86,-1.1160251602690457e-11
LONG,5175.86,5176.09,4.105333049267013e-11
LONG,5173.11,5173.14,5.155222763817935e-12
LONG,5173.84,5172.35,-2.458405424495946e-10
LONG,5172.92,5172.31,-9.518738916457352e-11
LONG,5171.35,5170.91,-6.552826793519243e-11
LONG,5171.05,5172.9,2.633386208659336e-10
LONG,5173.02,5176.55,4.911770591651957e-10
LONG,5176.94,5177.83,1.2301468528241537e-10
LONG,5176.84,5176.66,-2.4098437933922308e-11
LONG,5176.67,5176.66,-1.2829636989193442e-12
LONG,5176.7,5176.15,-6.773327256321174e-11
LONG,5176.9,5177.02,1.4107959817391335e-11
LONG,5177.01,5176.0,-1.1412745661872386e-10
LONG,5176.63,5176.55,-8.590621684704492e-12
LONG,5177.0,5177.56,5.76783705465172e-11
