ID,GATILLO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL,EQUITY
TITAN_HFT_059,3.0,19,1.4,-100.0,0
TITAN_HFT_060,3.05,19,1.4,-100.0,0
TITAN_HFT_061,3.1,19,1.4,-100.0,0
TITAN_HFT_062,3.15,19,1.4,-100.0,0
TITAN_HFT_063,3.2,19,1.4,-100.0,0
TITAN_HFT_064,3.25,19,1.4,-100.0,0
TITAN_HFT_065,3.3,19,1.4,-100.0,0
TITAN_HFT_066,3.35,19,1.4,-100.0,0
TITAN_HFT_067,3.4,19,1.4,-100.0,0
TITAN_HFT_068,3.45,19,1.4,-100.0,0
TITAN_HFT_069,3.5,19,1.4,-100.0,0
TITAN_HFT_070,3.55,19,1.4,-100.0,0
TITAN_HFT_071,3.6,19,1.4,-100.0,0
TITAN_HFT_072,3.65,19,1.4,-100.0,0
TITAN_HFT_199,10.000000000000002,19,1.4,-100.0,0
